url	first_seen	portal	title	company	status
https://jobgether.com/offer/690e10c3fe9a9f899178adaf-community-manager	2026-05-26	[General: Jobgether]	Community Manager	Sahara AI	added
https://jobgether.com/offer/6996bc24da7696de2f5722d2-community-manager---remote-pst-time-zone-preferred	2026-05-26	[General: Jobgether]	Community Manager Remote	MDA Edge	added
https://jobgether.com/offer/69a3cf257f0cfae7f1225fc9-community-lead	2026-05-26	[General: Jobgether]	Community Lead	Nibiru Chain	added
https://startup.jobs/community-manager-web3-hike-6208032	2026-05-26	[General: Startup.jobs Web3]	Community Manager Web3	Hike	added
https://startup.jobs/community-manager-web3-playco-3281093	2026-05-26	[General: Startup.jobs Web3]	Community Manager Web3	Playco	added
https://startup.jobs/lead-community-manager-monad-3801799	2026-05-26	[General: Startup.jobs Web3]	Lead Community Manager	Monad	added
https://startup.jobs/community-manager-coinbase-6671010	2026-05-26	[General: Startup.jobs Web3]	Community Manager	Coinbase	added
https://startup.jobs/community-manager-offchainlabs-4156534	2026-05-26	[General: Startup.jobs Web3]	Community Manager	Offchain Labs	added
https://builtin.com/job/community-manager-cosmos-hub-contract/7935679	2026-05-26	[General: Built In]	Community Manager Cosmos Hub	Cosmos Labs	added
https://remotive.com/remote/jobs/marketing/senior-community-manager-3583317	2026-05-26	[General: Remotive]	Senior Community Manager	Buffer	added
https://remotive.com/remote/jobs/marketing/program-manager-growth-and-community-1617239	2026-05-26	[General: Remotive]	Program Manager Growth and Community	Timescale	added
https://weworkremotely.com/remote-jobs/binance-dach-community-manager-events	2026-05-26	[General: WeWorkRemotely]	DACH Community Manager Events	Binance	added
https://www.workingnomads.com/jobs/community-manager-star-trektm-fleet-command-scopely	2026-05-26	[General: Working Nomads]	Community Manager Star Trek Fleet Command	Scopely	added
https://remoteok.com/remote-jobs/remote-community-manager-pyth-network-899688	2026-05-26	[General: RemoteOK]	Community Manager	Pyth Network	added
https://remoteok.com/remote-jobs/remote-community-manager-grass-899780	2026-05-26	[General: RemoteOK]	Community Manager	Grass	added
https://remoteok.com/remote-jobs/remote-dao-community-manager-1inch-1129875	2026-05-26	[General: RemoteOK]	DAO Community Manager	1inch	added
https://remoteok.com/remote-jobs/remote-community-manager-klink-finance-926799	2026-05-26	[General: RemoteOK]	Community Manager	Klink Finance	added
https://remoteok.com/remote-jobs/remote-defi-community-manager-mangrove-185708	2026-05-26	[General: RemoteOK]	DeFi Community Manager	Mangrove	added
https://himalayas.app/companies/jobgether/jobs/community-manager-remote-emea-or-latam	2026-05-26	[General: Himalayas]	Community Manager EMEA Latam	Jobgether	added
https://himalayas.app/companies/sahara/jobs/community-lead	2026-05-26	[General: Himalayas]	Community Lead	Sahara	added
https://himalayas.app/companies/deca-games/jobs/lead-community-manager-m-f-d	2026-05-26	[General: Himalayas]	Lead Community Manager	DECA Games	added
https://himalayas.app/companies/windranger-labs/jobs/community-manager	2026-05-26	[General: Himalayas]	Community Manager	Windranger Labs	added
https://remote.co/job/community-manager-11-3/	2026-05-26	[General: Remote.co]	Community Manager	IOV Labs Rootstock	added
https://www.welcometothejungle.com/en/companies/filigran/jobs/community-experience-manager_london	2026-05-26	[General: WTTJ France/Europe]	Community Experience Manager	Filigran	skipped_title
https://www.welcometothejungle.com/en/companies/bitstack/jobs/social-media-community-manager_paris_BITST_8V3w23V	2026-05-26	[General: WTTJ Sophia Antipolis]	Social Media Community Manager	Bitstack	added
https://euremotejobs.com/job/freelance-community-manager/	2026-05-26	[General: EU Remote Jobs]	Freelance Community Manager	Acorns	added
https://euremotejobs.com/job/growth-and-community-manager/	2026-05-26	[General: EU Remote Jobs]	Growth and Community Manager	Everbloom	added
https://euremotejobs.com/job/partnerships-manager/	2026-05-26	[General: EU Remote Jobs]	Partnerships Manager	Distribusion	skipped_title
https://job-boards.greenhouse.io/smartling/jobs/7871914	2026-05-26	[General: Greenhouse Localization PM]	Localization Project Manager	Smartling	added
https://boards.greenhouse.io/degreed/jobs/4230476004	2026-05-26	[General: Greenhouse Localization PM]	Localization Project Manager CX	Degreed	added
https://job-boards.greenhouse.io/knowbe4/jobs/8187664002	2026-05-26	[General: Greenhouse Localization PM]	Product Localization Manager	KnowBe4	added
https://jobs.ashbyhq.com/lilt-corporate/e9971893-75b5-45d4-ac32-14a61e001fa3	2026-05-26	[General: Ashby Localization/Content]	Localization Project Manager	LILT	added
https://jobs.ashbyhq.com/Perplexity/8e0286d9-ce3c-4076-b780-0414575db525	2026-05-26	[General: Ashby Localization/Content]	Localization Program Manager	Perplexity	added
https://jobs.ashbyhq.com/Tools%20for%20Humanity/837ca1b6-b6dd-4971-85c1-2761240658b6	2026-05-26	[General: Ashby Localization/Content]	Localization Manager	Tools for Humanity	added
https://beincrypto.com/jobs/p/community-manager-windranger-YnSpfJ2	2026-05-26	[General: BeInCrypto Jobs]	Community Manager	Windranger	added
https://beincrypto.com/jobs/p/community-manager-satoshi-solutions-oDJAQIH/	2026-05-26	[General: BeInCrypto Jobs]	Community Manager	Satoshi Solutions	added
https://beincrypto.com/jobs/p/crypto-community-manager-caiz	2026-05-26	[General: BeInCrypto Jobs]	Crypto Community Manager	CAIZ	added
https://beincrypto.com/jobs/p/global-community-manager-telegram-beincrypto-2jkqqNl/	2026-05-26	[General: BeInCrypto Jobs]	Global Community Manager Telegram	BeInCrypto	added
https://www.remote3.co/remote-jobs/community-lead-unto-labs-3	2026-05-26	[General: Remote3]	Community Lead	Unto Labs	added
https://www.remote3.co/remote-jobs/community-manager-0g-labs	2026-05-26	[General: Remote3]	Community Manager	0g Labs	added
https://www.remote3.co/remote-jobs/community-manager-defactor	2026-05-26	[General: Remote3]	Community Manager	Defactor	added
https://www.remote3.co/remote-jobs/ecosystem-operations-manager-remote-livepeer	2026-05-26	[General: Remote3]	Ecosystem Operations Manager	Livepeer	skipped_title
https://www.remote3.co/remote-jobs/community-lead-entangle-labs-3	2026-05-26	[General: Remote3]	Community Lead	Entangle Labs	added
https://www.remote3.co/remote-jobs/web3-community-lead-remote--phoenix-growth	2026-05-26	[General: Remote3]	Web3 Community Lead	Phoenix Growth	added
https://wellfound.com/jobs/3529994-ambassador-program-lead-web3-gaming	2026-05-26	[General: Wellfound Web3 CM]	Ambassador Program Lead Web3 Gaming	Inkognido	added
https://jobs.lever.co/crypto-banter/22b70b99-ce4d-4b5a-8779-e2ce732efb6a	2026-05-26	[General: Lever Web3 Head of Community]	Head of Community	Crypto Banter	added
https://jobs.lever.co/iovlabs/d1ca80e9-ab01-4c98-a1dc-3167cd9babaa	2026-05-26	[General: Lever Web3 Head of Community]	Community Manager	IOVLabs	added
https://jobs.ashbyhq.com/n8n/a8aea5b5-bde5-491e-adc0-affde5b3af3d/application	2026-05-26	[General: Ashby Head of Community/DevRel]	Head of Developer Relations	n8n	added
https://jobs.ashbyhq.com/flox/da25cc84-7c3d-4d38-9b6d-e4e7b327c9ad/application	2026-05-26	[General: Ashby Head of Community/DevRel]	Developer Relations Community Lead	Flox	added
https://hitmarker.net/jobs/sports-interactive-community-and-customer-experience-executive-1995720	2026-05-26	[General: Twitter Gaming Community]	Community and Customer Experience Executive	Sports Interactive	skipped_title
https://www.kast.xyz/careers/crypto-partnership-manager	2026-05-26	[SeriesA: KAST]	Crypto Partnership Manager	KAST	added
https://cryptocurrencyjobs.co/marketing/yo-labs-community-manager/	2026-05-26	[SeriesA: YO Labs WebSearch]	Community Manager	YO Labs	added
https://jobs.ashbyhq.com/yolabs/a1898dcf-14c8-4ee9-8e65-2324ca697759	2026-05-26	[SeriesA: YO Labs WebSearch]	Head of Ecosystem	YO Labs	skipped_title
https://jobs.ashbyhq.com/exponential/01f39ca5-80f6-4fa4-91c5-91b28f3d2bc2	2026-05-26	[SeriesA: YO Labs WebSearch]	Community Manager	YO Labs (Exponential)	added
https://startale.com/en/career/4016930008	2026-05-26	[SeriesA: Startale/Astar WebSearch]	Social Media Manager English	Startale Labs	added
https://job-boards.greenhouse.io/wormholefoundation/jobs/4813003008	2026-05-26	[SeriesA: Greenhouse fresh]	Ecosystem Marketing Manager	Wormhole Foundation	skipped_title
https://boards.greenhouse.io/okx/jobs/5820258003	2026-05-26	[SeriesA: Greenhouse fresh]	Web3 Ecosystem Marketing Manager	OKX	added
https://job-boards.greenhouse.io/aptoslabs/jobs/4567722005	2026-05-26	[SeriesA: Greenhouse fresh]	Ecosystem Marketing Manager LFM	Aptos Labs	skipped_title
https://job-boards.greenhouse.io/cosmoslabs/jobs/5100357007	2026-05-26	[SeriesA: Greenhouse fresh]	Head of Partnerships Enterprise Blockchain	Cosmos Labs	added
https://jobs.paradigm.xyz/companies/uniswap-foundation-2/jobs/39999815-community-manager	2026-05-26	[T1: Paradigm portfolio]	Community Manager Developer Ecosystem	Uniswap Foundation	added
https://jobs.multicoin.capital/companies/dfinity/jobs/34899650-developer-relations-engineer	2026-05-26	[T1: Multicoin portfolio]	Developer Relations Engineer	DFINITY	added
https://jobs.multicoin.capital/companies/aptos-labs/jobs/34148049-general-ecosystem-manager	2026-05-26	[T1: Multicoin portfolio]	General Ecosystem Manager	Aptos Labs	added
https://jobs.polychain.capital/companies/web3-foundation/jobs/40670834-ecosystem-growth-lead	2026-05-26	[T1: Polychain portfolio]	Ecosystem Growth Lead	Web3 Foundation	added
https://jobs.polychain.capital/companies/web3-foundation/jobs/51618332-senior-ecosystem-success-manager	2026-05-26	[T1: Polychain portfolio]	Senior Ecosystem Success Manager	Web3 Foundation	skipped_title
https://cryptocurrencyjobs.co/operations/animoca-brands-director-of-portfolio-and-ecosystem/	2026-05-26	[T2: Animoca portfolio]	Director of Portfolio and Ecosystem	Animoca Brands	skipped_title
